,index,word,count
0,7,NUM,544414
1,3,european,360366
2,63,mr,286710
3,413,commission,250652
4,71,president,203596
5,42,aposs,171348
6,51,union,171270
7,4,parliament,169060
8,376,states,148690
9,633,council,148046
10,106,report,145982
11,166,member,139452
12,9,like,135652
13,845,europe,121742
14,27,countries,114158
15,134,policy,102302
16,25,people,102060
17,146,time,97094
18,12,new,95074
19,574,need,93112
20,241,important,91004
21,375,EU,87302
22,297,committee,86326
23,796,support,76946
24,832,work,75406
25,3053,rights,75374
26,430,political,70902
27,936,way,69216
28,722,commissioner,67362
29,112,proposal,66052
30,1285,economic,65754
31,129,believe,63986
32,1014,social,63750
33,252,fact,63528
34,177,community,62192
35,100,question,61884
36,448,point,60694
37,1417,development,60624
38,410,group,56760
39,827,human,56208
40,5641,s,55338
41,757,market,55076
42,534,issue,54966
43,218,public,54952
44,678,think,54732
45,35,debate,54346
46,417,years,53562
47,359,today,52928
48,217,right,52798
49,383,future,51904
50,519,agreement,51674
51,463,possible,51652
52,138,want,51388
53,1052,country,51146
54,85,situation,50996
55,378,said,50910
56,712,directive,50656
57,246,mrs,50612
58,187,order,50496
59,667,state,49488
60,13,year,49134
61,2098,measures,49112
62,750,national,48440
63,44,members,48394
64,2882,world,47776
65,211,clear,47438
66,132,common,46426
67,710,view,46182
68,139,know,46040
69,931,international,45880
70,457,citizens,45584
71,862,good,45470
72,405,amendments,45434
73,471,taken,45092
74,37,course,44564
75,14,hope,44248
76,1067,cooperation,43712
77,93,house,43366
78,294,particular,43326
79,202,case,42842
80,1422,use,42584
81,265,able,41948
82,1087,process,41300
83,731,action,41232
84,1807,financial,40366
85,785,system,40160
86,322,vote,40138
87,909,rapporteur,39994
88,552,means,39802
89,26,number,39720
90,215,information,39474
91,431,programme,39404
92,733,level,39374
93,1115,problem,39366
94,476,given,39348
95,1369,government,39266
96,1037,great,39108
97,131,legal,38370
98,784,example,38308
99,245,far,37820
100,919,area,37802
101,969,problems,37570
102,272,ensure,37220
103,243,position,37154
104,2718,budget,37042
105,269,place,36930
106,1283,united,36814
107,724,gentlemen,36732
108,723,ladies,36516
109,194,thank,36468
110,2784,security,36000
111,791,amendment,35804
112,277,matter,35758
113,403,rules,35714
114,360,decision,35410
115,458,end,35174
116,48,particularly,34744
117,701,necessary,34738
118,589,long,34442
119,579,regard,33992
120,1373,issues,33910
121,653,presidency,33846
122,286,health,33744
123,1973,women,33726
124,309,areas,33670
125,1473,proposals,33384
126,1864,treaty,33250
127,1138,respect,32896
128,153,set,32580
129,318,certain,32402
130,864,law,32300
131,234,basis,32294
132,1912,aid,32140
133,1555,general,32126
134,1936,protection,32058
135,1436,trade,31650
136,351,present,31286
137,1105,terms,30548
138,480,let,30520
139,567,framework,30506
140,47,concerned,30146
141,335,services,30100
142,460,resolution,29966
143,102,come,29410
144,36,subject,29312
145,1449,employment,29074
146,557,different,29060
147,10,wish,28968
148,172,ask,28870
149,70,madam,28864
150,769,regulation,28848
151,869,sector,28734
152,1437,energy,28720
153,485,opinion,28624
154,45,behalf,28570
155,578,role,28284
156,288,legislation,28266
157,95,shall,27900
158,199,adopted,27752
159,1815,progress,27642
160,580,agree,27570
161,497,making,27476
162,356,going,27150
163,486,second,26786
164,690,better,26758
165,1072,institutions,26706
166,404,procedure,26642
167,1015,environment,26624
168,611,working,26550
169,1193,continue,26506
170,126,principle,26442
171,1450,affairs,26268
172,3789,apos,26082
173,406,proposed,25980
174,956,research,25898
175,684,clearly,25520
176,911,forward,25482
177,1427,industry,25480
178,1033,finally,25216
179,652,result,25132
180,479,help,25038
181,428,favour,25032
182,563,needs,24826
183,704,transport,24792
184,287,safety,24430
185,797,specific,24174
186,1784,approach,24020
187,945,conditions,23658
188,726,welcome,23448
189,766,high,23276
190,1440,resources,23262
191,2778,million,23144
192,214,environmental,23054
193,533,based,22766
194,1602,opportunity,22702
195,930,importance,22620
196,687,account,22578
197,525,find,22542
198,1257,internal,22476
199,1892,enlargement,22380
200,1824,free,22372
201,4190,democratic,22328
202,773,responsibility,22318
203,130,fundamental,22294
204,971,especially,22282
205,1336,funds,22260
206,1189,regions,22208
207,1304,negotiations,22136
208,865,greater,21990
209,1715,control,21970
210,1787,authorities,21938
211,419,reform,21876
212,1620,policies,21872
213,992,deal,21854
214,6118,democracy,21774
215,1157,small,21762
216,1016,having,21752
217,1074,current,21732
218,1863,article,21676
219,181,office,21650
220,2083,things,21634
221,1375,points,21478
222,4260,peace,21424
223,913,provide,21408
224,1497,taking,21336
225,171,including,21312
226,1280,reason,21174
227,780,change,21166
228,84,difficult,21138
229,741,increase,21078
230,1475,strategy,20926
231,2558,products,20752
232,1501,society,20684
233,590,term,20508
234,1591,real,20502
235,746,competition,20252
236,2727,interests,20192
237,2084,words,20178
238,1297,certainly,20088
239,2342,single,20082
240,529,hand,20078
241,810,major,20044
242,609,large,20022
243,649,quot,19992
244,1310,allow,19882
245,697,accept,19876
246,740,achieve,19848
247,1527,essential,19844
248,1999,money,19820
249,283,positive,19788
250,201,attention,19758
251,815,involved,19708
252,2819,court,19554
253,109,programmes,19456
254,3899,convention,19288
255,2644,freedom,19238
256,4637,turkey,19188
257,1102,consider,19080
258,1782,following,19004
259,792,concerns,18890
260,1107,objective,18848
261,470,decisions,18840
262,248,look,18810
263,368,majority,18800
264,467,simply,18632
265,1288,efforts,18624
266,411,party,18602
267,1113,effective,18552
268,3438,foreign,18548
269,1665,implementation,18460
270,205,interest,18410
271,292,quality,18360
272,326,questions,18342
273,53,aware,18336
274,1650,growth,18304
275,1205,concern,18300
276,2820,justice,18224
277,399,conference,18188
278,213,access,18188
279,708,regional,18152
280,371,extremely,17872
281,278,agenda,17742
282,416,objectives,17738
283,968,companies,17676
284,989,agreements,17644
285,114,form,17510
286,2652,food,17468
287,89,initiative,17430
288,1820,euro,17274
289,859,step,17064
290,1579,best,17050
291,2791,fully,17040
292,186,power,16978
293,920,recent,16894
294,1792,relations,16892
295,1085,field,16890
296,1886,called,16884
297,686,solution,16856
298,1529,agricultural,16824
299,501,day,16792
300,2029,bring,16780
301,528,text,16752
302,1564,dialogue,16660
303,1453,economy,16636
304,498,groups,16584
305,298,meeting,16560
306,68,ago,16558
307,739,secondly,16514
308,449,voted,16480
309,289,actually,16388
310,98,concerning,16366
311,2420,region,16312
312,802,force,16218
313,524,mentioned,16192
314,380,risk,16122
315,587,open,16116
316,2531,children,16078
317,861,available,16076
318,18,period,16000
319,1747,main,15982
320,2844,consumer,15952
321,1432,production,15888
322,879,context,15882
323,554,non,15864
324,149,start,15852
325,1301,matters,15848
326,765,standards,15848
327,1528,create,15800
328,1335,structural,15794
329,1642,life,15778
330,69,appropriate,15768
331,1584,central,15690
332,250,firstly,15618
333,1071,understand,15606
334,2361,developing,15552
335,1524,workers,15490
336,1810,summit,15416
337,2710,EUR,15378
338,984,reports,15200
339,937,reasons,15196
340,88,feel,15186
341,759,currently,15148
342,141,kind,15138
343,612,responsible,15088
344,2304,joint,14978
345,1187,special,14922
346,239,draft,14882
347,67,months,14876
348,1051,cases,14834
349,4471,war,14822
350,128,stability,14806
351,509,longer,14778
352,1292,thing,14778
353,915,fight,14772
354,1049,little,14724
355,1748,results,14682
356,1414,education,14676
357,1411,governments,14588
358,3152,management,14536
359,1879,regards,14532
360,97,rule,14518
361,730,needed,14490
362,174,line,14464
363,2937,parties,14440
364,918,improve,14350
365,4837,crisis,14342
366,2472,accession,14322
367,1426,jobs,14292
368,1479,effect,14292
369,192,principles,14132
370,1204,mean,14108
371,772,individual,14048
372,562,plan,14046
373,1768,act,14030
374,1663,budgetary,14028
375,1618,achieved,13976
376,583,idea,13944
377,370,past,13930
378,133,fisheries,13910
379,1340,communication,13766
380,396,final,13736
381,1937,systems,13732
382,892,excellent,13710
383,891,congratulate,13668
384,1284,nations,13658
385,866,sure,13632
386,1384,projects,13586
387,1565,compromise,13582
388,1491,agriculture,13540
389,1314,moment,13510
390,2099,true,13486
391,154,unfortunately,13426
392,982,activities,13396
393,622,lack,13380
394,1106,priority,13364
395,604,tax,13344
396,756,labour,13312
397,1194,provided,13218
398,1259,makes,13176
399,2840,consumers,13164
400,1192,service,13164
401,752,costs,13142
402,1670,civil,13134
403,1000,aspects,13132
404,1616,lead,13090
405,481,agreed,13086
406,6712,terrorism,13076
407,2217,minister,13058
408,924,technical,13054
409,1161,local,13050
410,1915,monetary,12964
411,1593,guarantee,12920
