,index,word,count
0,2,the,3845649
1,1,of,1823497
2,18,to,1695460
3,13,and,1445798
4,24,in,1194054
5,26,that,921543
6,195,is,849935
7,80,for,588523
8,237,we,582291
9,52,this,545471
10,114,it,475902
11,88,be,450042
12,299,are,376922
13,33,have,358234
14,211,not,341817
15,223,with,327940
16,165,which,309131
17,6,european,293712
18,32,will,265353
19,259,by,264279
20,150,has,232718
21,105,mr,197774
22,122,at,184746
23,142,an,172798
24,14,would,169727
25,433,also,167752
26,68,all,165392
27,539,commission,162448
28,61,should,159851
29,365,but,159482
30,331,our,156333
31,90,from,154541
32,948,must,146406
33,85,president,143291
34,93,there,136566
35,94,been,134747
36,20,you,131497
37,76,union,122925
38,497,states,120438
39,133,can,119448
40,243,member,116664
41,7,parliament,115380
42,314,more,114082
43,104,was,113668
44,524,its,110555
45,168,report,110518
46,335,these,109260
47,417,or,109120
48,437,they,108091
49,184,their,105491
50,129,do,104990
51,15,like,103662
52,209,what,101451
53,750,council,100172
54,102,very,99591
55,147,if,97599
56,100,one,95564
57,282,so,91728
58,993,europe,90279
59,42,countries,87328
60,297,us,85213
61,158,my,84660
62,371,no,82637
63,153,about,81461
64,124,other,81415
65,1016,need,78538
66,108,who,78160
67,1215,only,77219
68,200,policy,76937
69,346,important,75833
70,22,new,75092
71,40,people,74611
72,215,time,73209
73,315,because,72878
74,256,now,68753
75,436,am,65565
76,1039,such,65456
77,3456,rights,65046
78,163,up,63627
79,381,therefore,63598
80,935,support,63264
81,216,when,62517
82,344,out,62153
83,72,those,61755
84,252,however,61388
85,819,take,60328
86,262,make,60059
87,354,into,59226
88,656,between,59131
89,618,some,58311
90,980,work,57922
91,410,committee,55323
92,1482,economic,55187
93,510,any,54627
94,597,being,53520
95,455,them,52775
96,558,political,52632
97,303,made,51490
98,48,were,51303
99,224,first,50664
100,248,many,50368
101,824,than,49917
102,1096,way,49812
103,1182,social,49722
104,194,believe,49188
105,859,commissioner,48664
106,1623,development,48580
107,556,against,47293
108,175,proposal,46534
109,688,say,46333
110,64,s,46328
111,896,market,45908
112,51,debate,45803
113,358,fact,45662
114,974,human,45044
115,111,just,43722
116,536,group,43446
117,809,think,42739
118,159,question,42472
119,746,even,42382
120,544,years,42314
121,655,agreement,42093
122,672,issue,41613
123,67652,’,41592
124,298,here,41444
125,86,point,41386
126,587,citizens,40898
127,396,does,40566
128,138,situation,40109
129,87,order,40044
130,504,future,39985
131,316,public,39725
132,615,how,39386
133,311,right,39381
134,830,cannot,39305
135,368,two,39258
136,384,well,39142
137,813,today,38780
138,109,had,38732
139,613,could,38719
140,2342,measures,38669
141,204,want,38590
142,739,same,38580
143,261,community,38382
144,345,most,38227
145,2031,financial,37744
146,978,where,37620
147,1239,country,37401
148,1090,international,37399
149,889,national,37021
150,848,directive,36871
151,499,said,36406
152,793,state,36344
153,320,much,36217
154,1057,within,36044
155,246,already,36022
156,3277,world,35981
157,441,vote,35806
158,1011,good,35799
159,1246,cooperation,35729
160,306,too,35548
161,198,common,35417
162,66,members,35358
163,304,clear,35286
164,880,both,35265
165,962,part,35072
166,351,mrs,34790
167,217,may,34515
168,39,still,34497
169,340,why,34138
170,23,year,34091
171,406,particular,33648
172,205,know,33633
173,1628,use,33534
174,807,see,33470
175,1095,under,33401
176,151,your,33239
177,480,over,32463
178,1644,energy,32427
179,924,system,32227
180,54,course,32226
181,846,view,32133
182,79,then,32102
183,312,he,32023
184,25,hope,31854
185,603,taken,31764
186,123,his,31687
187,280,thank,31655
188,687,action,31540
189,871,level,31501
190,1078,area,31493
191,382,ensure,31310
192,374,able,30991
193,323,last,30890
194,3180,security,30668
195,291,case,30597
196,1266,process,30503
197,946,without,30391
198,377,place,30099
199,795,own,30071
200,309,information,29977
201,1069,put,29525
202,2096,treaty,29029
203,1631,means,29010
204,1178,through,28950
205,41,number,28911
206,2168,protection,28715
207,81,house,28651
208,1295,problem,28621
209,923,example,28541
210,173,before,28449
211,861,gentlemen,28437
212,609,given,28403
213,860,ladies,28370
214,408,since,28342
215,531,amendments,28196
216,197,legal,28145
217,3113,budget,27941
218,1575,government,27921
219,1066,rapporteur,27893
220,1132,problems,27780
221,529,rules,27444
222,1208,great,27373
223,71,particularly,27060
224,559,programme,26765
225,84,madam,26756
226,836,necessary,26730
227,590,resolution,26624
228,1579,issues,26483
229,757,give,26288
230,1480,united,26273
231,1643,trade,26019
232,398,health,25968
233,588,end,25838
234,424,areas,25704
235,1014,law,25570
236,677,respect,25565
237,348,position,25546
238,1152,regard,25395
239,388,matter,25002
240,206,whether,24966
241,17,again,24740
242,758,after,24685
243,350,far,24466
244,2207,women,24299
245,778,presidency,24275
246,1849,framework,24185
247,1281,further,24080
248,453,services,23870
249,1022,sector,23577
250,55,next,23573
251,1682,proposals,23556
252,1241,role,23479
253,67,behalf,23444
254,226,set,23310
255,930,amendment,23267
256,614,let,23162
257,336,basis,23055
258,1285,terms,23030
259,909,regulation,23025
260,555,favour,22892
261,2144,aid,22425
262,190,done,22413
263,162,come,22125
264,823,better,22009
265,288,adopted,21998
266,5219,crisis,21974
267,400,legislation,21911
268,1993,agree,21546
269,2156,needs,21487
270,612,help,21442
271,472,present,21209
272,1684,strategy,21191
273,919,change,21159
274,1251,institutions,21061
275,482,decision,21017
276,2042,progress,20980
277,1386,continue,20864
278,621,opinion,20737
279,253,ask,20377
280,1656,employment,20345
281,53,subject,20281
282,720,working,20189
283,70,concerned,20109
284,19,wish,20093
285,1768,general,19944
286,463,another,19855
287,477,going,19838
288,864,welcome,19767
289,58,during,19697
290,161,something,19658
291,777,result,19637
292,1008,towards,19546
293,56,few,19512
294,260,whole,19500
295,1117,research,19470
296,840,transport,19418
297,940,three,19387
298,1183,environment,19283
299,2006,approach,19227
300,1223,long,19202
301,576,voted,19055
302,379,every,18932
303,1070,forward,18913
304,399,safety,18912
305,1634,industry,18873
306,1254,current,18810
307,1105,conditions,18760
308,1647,resources,18726
309,816,clearly,18721
310,530,procedure,18707
311,192,principle,18683
312,1203,finally,18662
313,250,including,18526
314,1253,together,18521
315,196,fundamental,18395
316,313,go,18281
317,622,second,18264
318,579,did,18233
319,1089,importance,18211
320,532,proposed,18179
321,1817,opportunity,18172
322,1106,really,18141
323,1537,funds,18110
324,149,shall,18044
325,16,once,18042
326,1887,while,17993
327,1835,policies,17951
328,2009,authorities,17950
329,3173,million,17944
330,936,specific,17866
331,1657,affairs,17862
332,1072,provide,17831
333,1134,especially,17818
334,598,used,17797
335,1021,yet,17788
336,879,increase,17756
337,285,quite,17753
338,1227,rather,17446
339,308,environmental,17435
340,1502,negotiations,17418
341,1453,internal,17382
342,1015,greater,17297
343,820,account,17255
344,663,find,17222
345,912,responsibility,17073
346,6638,democracy,17046
347,902,itself,17016
348,584,become,17011
349,2833,products,16957
350,1671,serious,16953
351,1382,regions,16865
352,1188,down,16714
353,5823,democratic,16621
354,957,least,16598
355,284,indeed,16510
356,3033,freedom,16443
357,1348,small,16414
358,906,high,16179
359,633,making,16153
360,1184,having,16148
361,278,always,16130
362,1237,third,16102
363,307,access,16075
364,1293,effective,16044
365,290,attention,16035
366,137,difficult,16031
367,1477,reason,16008
368,1864,growth,16001
