,index,word,count
0,2,a,849619
1,0,i,554855
2,1,on,517463
3,3,as,360130
4,9,eu,81179
5,10,possible,38463
6,6,me,35288
7,7,certain,23071
8,13,different,21885
9,8,de,11055
10,36,un,7545
11,14,stop,6065
12,12,six,5833
13,11,comment,4618
14,15,nos,3649
15,5,sent,3078
16,19,via,3000
17,22,car,2768
18,16,etc,2155
19,46,es,1978
20,32,unique,1488
21,29,comparable,1049
22,28,cent,976
23,52,diverse,930
24,77,fi,922
25,37,rare,900
26,4,relative,893
27,21,plus,891
28,38,da,854
29,17,tend,827
30,45,seize,545
31,20,pure,538
32,23,le,497
33,49,la,468
34,31,suit,448
35,50,et,327
36,35,elles,324
37,34,en,311
38,117,ce,301
39,33,non,290
40,47,par,289
41,91,dont,261
42,42,dire,235
43,64,son,234
44,63,se,228
45,88,uns,192
46,18,probable,180
47,65,fait,132
48,55,o,125
49,78,à,121
50,39,tac,120
51,57,des,114
52,30,premier,102
53,53,pour,99
54,54,na,90
55,66,oh,89
56,73,au,86
57,24,du,86
58,82,sans,69
59,97,tel,62
60,96,est,61
61,71,bat,60
62,85,mince,55
63,146,mon,51
64,90,pan,47
65,80,tous,43
66,134,ai,42
67,81,ore,40
68,68,las,35
69,95,ha,35
70,120,durant,34
71,25,ne,34
72,76,sa,33
73,26,pas,32
74,51,vu,31
75,44,être,30
76,108,hue,30
77,103,bravo,27
78,56,les,27
79,93,il,25
80,79,oust,23
81,113,ses,21
82,87,moi,20
83,60,ton,20
84,99,ah,19
85,148,retour,18
86,105,hop,17
87,161,ni,15
88,86,nous,13
89,170,juste,12
90,67,si,12
91,142,ma,12
92,159,font,11
93,154,une,11
94,140,qui,11
95,58,ta,10
96,130,va,9
97,62,mille,8
98,94,sur,8
99,123,tenant,8
100,48,dans,8
101,124,merci,7
102,114,bas,7
103,149,te,7
104,133,hurrah,7
105,102,encore,7
106,59,contre,7
107,27,avec,7
108,70,aura,6
109,139,mais,6
110,40,je,6
111,138,laisser,6
112,100,bien,6
113,147,sera,6
114,75,tout,6
115,98,ho,5
116,145,que,5
117,127,reste,5
118,126,hors,5
119,109,toujours,5
120,118,très,4
121,107,vive,4
122,121,entre,4
123,41,vous,4
124,137,divers,4
125,119,notre,4
126,141,rend,3
127,72,doit,3
128,144,sein,3
129,160,hum,3
130,171,passé,3
131,136,aux,3
132,176,nouveau,3
133,115,là,3
134,110,naturel,3
135,128,mes,3
136,84,avant,3
137,92,ils,3
138,61,votre,2
139,180,quanta,2
140,104,celle,2
141,182,vos,2
142,185,même,2
143,101,hi,2
144,158,elle,2
145,74,peut,2
146,151,rien,2
147,116,où,2
148,106,après,2
149,122,été,2
150,135,trop,2
151,83,ou,2
152,143,cher,2
153,196,première,1
154,187,lui,1
155,178,parler,1
156,179,suis,1
157,181,dit,1
158,198,outre,1
159,199,pif,1
160,183,celui,1
161,184,leur,1
162,200,maintenant,1
163,186,hui,1
164,188,hé,1
165,195,pff,1
166,189,lesquels,1
167,203,ont,1
168,202,plein,1
169,177,peux,1
170,190,ceux,1
171,191,seul,1
172,201,ces,1
173,192,hep,1
174,193,extenso,1
175,194,quant,1
176,197,pourquoi,1
177,155,voilà,1
178,175,moins,1
179,43,quelque,1
180,111,certains,1
181,112,sous,1
182,89,delà,1
183,125,douze,1
184,129,deux,1
185,131,soi,1
186,132,notamment,1
187,69,peuvent,1
188,150,dessus,1
189,152,cet,1
190,153,hein,1
191,156,personne,1
192,174,tes,1
193,157,vers,1
194,162,comme,1
195,163,mien,1
196,164,seulement,1
197,165,sait,1
198,166,tres,1
199,167,chez,1
200,168,ça,1
201,169,vont,1
202,172,autrement,1
203,173,tant,1
204,204,aucun,1
