,index,word,count
0,0,de,2916344
1,1,la,1905120
2,9,et,1349908
3,7,le,1265816
4,20,les,1148386
5,26,à,1105907
6,36,des,1058932
7,14,que,886902
8,13,en,789268
9,32,nous,619149
10,3,du,550385
11,28,dans,516048
12,34,pour,500800
13,4,qui,466583
14,33,une,456032
15,25,un,427399
16,27,ce,426370
17,42,est,417030
18,2,je,416001
19,19,pas,354541
20,29,au,351603
21,57,sur,350198
22,43,il,336743
23,40,par,300733
24,18,ne,297579
25,44,a,293084
26,119,plus,244461
27,30,cette,211176
28,60,aux,185745
29,113,sont,168651
30,108,mais,162779
31,150,avec,154585
32,101,ces,145262
33,74,se,135886
34,63,être,132882
35,23,ont,125666
36,6,été,122482
37,10,vous,122258
38,16,comme,121044
39,49,tout,115233
40,54,fait,113211
41,55,si,109361
42,154,ou,98201
43,92,aussi,94737
44,89,notre,93729
45,62,cela,83566
46,88,bien,83448
47,11,tous,83032
48,85,avons,82542
49,61,leur,81531
50,191,doit,79930
51,121,même,79270
52,96,très,77950
53,50,son,77070
54,161,entre,72568
55,22,nos,67377
56,76,elle,62902
57,145,contre,58459
58,58,donc,58252
59,120,non,56700
60,68,peut,55711
61,187,sans,55573
62,47,dont,54738
63,143,ainsi,54616
64,128,on,53986
65,118,soit,53475
66,107,deux,53109
67,199,encore,52900
68,100,ses,50172
69,146,cet,47762
70,69,suis,47376
71,91,sa,46468
72,31,me,45961
73,219,leurs,44780
74,207,afin,44527
75,52,pense,44052
76,115,dire,44046
77,66,mon,43419
78,222,doivent,42940
79,147,où,42588
80,83,car,42149
81,212,autres,41908
82,157,tant,39019
83,217,ils,38882
84,98,lors,37439
85,59,sera,37038
86,155,certains,36617
87,169,concernant,35723
88,67,toute,35391
89,35,toutes,35074
90,172,parce,34241
91,102,pourquoi,33919
92,138,dit,33897
93,148,quelle,33392
94,170,sein,32716
95,223,moins,31798
96,99,seulement,30825
97,72,avant,30681
98,104,avoir,30194
99,176,beaucoup,28469
100,178,particulier,28202
101,86,toujours,28146
102,206,possible,27942
103,105,toutefois,27825
104,229,ceux,27423
105,37,notamment,27064
106,151,laquelle,26829
107,168,autre,26707
108,82,votre,26174
109,117,depuis,25921
110,73,alors,25730
111,71,effet,25640
112,179,après,25105
113,93,était,24638
114,262,selon,24084
115,94,nouveau,23416
116,132,peu,23410
117,53,serait,23108
118,224,peuvent,22823
119,183,elles,22466
120,79,cependant,22382
121,106,na,22002
122,246,enfin,21989
123,135,dès,21557
124,56,ma,21516
125,12,mes,21189
126,173,façon,21058
127,75,première,21040
128,247,premier,20977
129,45,quelques,20431
130,51,particulièrement,19961
131,192,trois,19916
132,258,eu,19768
133,162,sous,19452
134,160,là,19354
135,298,ni,19315
136,112,chaque,19268
137,46,lui,19243
138,41,plusieurs,18769
139,163,maintenant,18757
140,103,lorsque,18727
141,201,nombreux,18708
142,239,aucun,18194
143,204,vers,18133
144,184,seront,18071
145,125,certaines,17880
146,198,trop,17665
147,164,pourrait,17459
148,133,va,17271
149,275,surtout,16918
150,136,étant,16641
151,213,reste,16625
152,181,moi,16391
153,141,ai,16339
154,214,tiens,16105
155,149,outre,15747
156,8,dernier,15465
157,280,rien,15403
158,109,aucune,15210
159,159,telle,15017
160,38,différents,14660
161,194,souvent,14632
162,5,avait,14632
163,185,semble,14558
164,90,ait,14444
165,241,aura,14265
166,116,comment,14250
167,134,quant,14033
168,156,deuxième,13835
169,226,quelles,13741
170,205,lequel,13685
171,97,compris,13641
172,166,quand,13552
173,284,celui,13535
174,77,nombreuses,13187
175,234,quelque,13042
176,304,ailleurs,12993
177,310,unique,12881
178,140,tel,12673
179,21,certain,12640
180,228,juste,12586
181,48,celle,12288
182,17,pu,12112
183,232,seule,12033
184,266,aujourd,11604
185,267,hui,11602
186,175,chers,11589
187,296,plutôt,11568
188,200,pendant,11274
189,279,rendre,11147
190,196,personne,11131
191,237,tels,11090
192,137,font,11045
193,182,vu,11038
194,193,parler,10701
195,273,différentes,10689
196,260,devant,10627
197,114,peux,10382
198,84,ceci,10305
199,152,seul,10218
200,202,telles,10124
201,254,néanmoins,10115
202,250,aurait,10037
203,139,parmi,9710
204,15,passé,9591
205,65,relative,9521
206,331,quel,9351
207,253,eux,9052
208,244,tenir,8968
209,167,quoi,8915
210,264,étaient,8716
211,189,deuxièmement,8663
212,313,absolument,8475
213,64,malgré,8424
214,265,celles,8171
215,180,gens,7960
216,209,quatre,7841
217,299,vos,7748
218,272,lesquels,7666
219,286,chacun,7600
220,285,voilà,7459
221,142,cinq,7455
222,87,merci,7428
223,269,puisque,7421
224,188,premièrement,7391
225,95,ayant,7177
226,295,longtemps,7115
227,195,assez,7093
228,326,près,7088
229,236,troisième,7018
230,203,permet,6979
231,261,mêmes,6709
232,215,lesquelles,6623
233,225,vont,6586
234,80,désormais,6400
235,123,certaine,6279
236,259,parfois,6273
237,281,devra,6200
238,111,suivre,6000
239,211,dix,5976
240,277,importe,5937
241,210,six,5917
242,130,allons,5833
243,144,puis,5673
244,290,directement,5606
245,81,faisant,5542
246,165,auquel,5487
247,354,envers,5354
248,216,particulière,5335
249,276,parle,5313
250,322,durant,5213
251,271,sait,5206
252,231,certes,5155
253,126,avaient,4908
254,289,chez,4885
255,329,laisser,4562
256,249,seraient,4398
257,238,auxquels,4333
258,274,etc,4330
259,190,troisièmement,4282
260,122,vais,4212
261,227,soi,3994
262,292,suivante,3990
263,336,combien,3856
264,171,abord,3765
265,197,divers,3727
266,327,jusqu,3692
267,317,autrement,3669
268,124,auront,3645
269,300,quels,3613
270,340,diverses,3584
271,323,environ,3523
272,282,ouverte,3461
273,70,exactement,3433
274,321,suffit,3397
275,320,retour,3285
276,316,restent,3276
277,153,dehors,3160
278,257,possibles,3155
279,127,auxquelles,3067
280,328,ouvert,3054
281,255,via,3015
282,393,bas,2978
283,24,naturelles,2850
284,177,relativement,2815
285,218,auraient,2810
286,324,plein,2765
287,243,pouvait,2741
288,308,suivant,2661
289,361,proche,2611
290,347,quinze,2590
291,235,différente,2575
292,297,sept,2509
293,131,semblent,2501
294,368,hors,2498
295,305,fais,2440
296,221,cent,2426
297,220,rend,2415
298,343,directe,2313
299,350,derrière,2313
300,335,tellement,2313
301,330,duquel,2226
302,346,pire,2178
303,129,cher,2096
304,333,huit,2085
305,365,suffisant,2038
306,419,es,2030
307,248,sinon,2022
308,251,suffisante,2003
309,158,tenant,1975
310,278,suivants,1921
311,359,voici,1898
312,349,suivantes,1889
313,363,naturel,1850
314,315,remarquable,1834
315,377,différent,1832
316,318,quatrième,1738
317,319,quelconque,1731
318,301,i,1729
319,344,partant,1721
320,351,vingt,1709
321,270,hélas,1690
322,291,feront,1673
323,314,tente,1650
324,311,suit,1643
325,370,ça,1641
326,345,neuf,1553
327,174,sauf,1509
328,283,uns,1492
329,309,cinquième,1431
330,293,nul,1362
331,230,rares,1358
332,355,fi,1329
333,341,quatrièmement,1284
334,398,douze,1278
335,242,strictement,1152
336,337,mille,1120
337,386,quiconque,1114
338,371,maximale,1080
339,360,pourrais,1051
340,334,eh,1048
341,302,chacune,1043
342,245,desquels,1032
343,287,probable,1023
344,208,naturelle,1020
345,392,ouverts,968
346,256,tienne,964
347,364,trente,959
348,312,septième,933
349,294,sixième,926
350,362,nôtre,895
351,400,parlent,891
352,380,beau,849
353,342,desquelles,840
354,408,comparables,831
355,268,dite,815
356,303,attendu,807
357,356,minimale,792
358,233,touchant,768
359,382,ton,761
360,338,cinquante,748
361,110,avais,730
362,353,rarement,699
363,387,pure,694
364,388,da,691
365,403,onze,685
366,401,moyennant,651
367,409,mien,628
368,383,comparable,627
369,410,restant,581
370,384,rare,571
371,186,chère,568
372,306,étais,565
373,263,autrefois,561
374,420,tend,553
375,379,tardive,547
376,406,vive,540
377,381,nôtres,523
378,252,dessous,518
379,376,vives,516
380,405,dits,511
381,417,semblable,507
382,367,faisaient,503
383,332,quarante,497
384,413,moindres,492
385,375,quoique,469
386,390,jusque,461
387,395,quatorze,447
388,373,vifs,439
389,325,pur,418
390,378,vif,414
391,240,dessus,409
392,449,tic,395
393,369,tu,395
394,444,dixième,392
395,407,uniques,382
396,396,treize,379
397,394,allaient,358
398,374,hormis,322
399,307,unes,316
400,385,vôtre,313
401,366,bat,304
402,288,delà,293
403,389,tac,287
404,339,soixante,282
405,399,sien,269
406,78,mienne,268
407,397,sent,260
408,348,huitième,253
409,39,debout,245
410,411,sienne,235
411,416,seize,226
412,357,chères,216
413,423,mince,169
414,358,neuvième,165
415,418,restrictif,152
416,434,etant,148
417,404,as,146
418,426,autrui,139
419,421,siennes,138
420,455,bravo,134
421,440,extenso,133
422,352,semblaient,130
423,452,te,124
424,437,stop,120
425,433,excepté,115
426,372,siens,115
427,428,miennes,114
428,439,ô,109
429,446,aie,99
430,424,o,99
431,436,cinquantième,96
432,442,vôtres,94
433,456,las,92
434,391,miens,90
435,430,pan,89
436,448,toi,76
437,415,diverse,68
438,414,ah,65
439,438,onzième,63
440,431,oh,59
441,412,cinquantaine,56
442,429,ta,52
443,422,ci,46
444,445,douzième,45
445,435,dedans,41
446,454,tes,39
447,447,ha,28
448,471,probante,25
449,427,subtiles,22
450,441,chiche,22
451,461,clic,21
452,432,hé,21
453,457,revoilà,19
454,425,holà,17
455,469,tien,16
456,453,vas,14
457,466,revoici,8
458,478,egalement,6
459,462,ès,5
460,443,hue,5
461,460,ho,4
462,470,maint,4
463,474,pres,4
464,463,etre,4
465,464,hop,3
466,459,â,3
467,450,superpose,3
468,486,pif,2
469,484,zut,2
470,479,quanta,2
471,458,sapristi,2
472,477,tres,2
473,465,ore,2
474,476,hein,2
475,402,ouf,2
476,451,allo,2
477,475,ohé,1
478,473,allô,1
479,472,chut,1
480,468,bah,1
481,480,meme,1
482,481,pff,1
483,482,hep,1
484,483,boum,1
485,467,olé,1
486,485,plouf,1
487,487,crac,1
